IF set: {'37'}  THEN set: {'1'}  CONFIDENCE: 0.9362745098039216
IF set: {'38', '41', '60', '86', '23', '59', '40'}  THEN set: {'48', '58', '14'}  CONFIDENCE: 0.9714285714285714
IF set: {'38', '41', '86', '23', '59', '14', '40'}  THEN set: {'60', '48', '58'}  CONFIDENCE: 0.9941520467836257
IF set: {'38', '60', '86', '23', '59', '14', '40'}  THEN set: {'48', '58', '41'}  CONFIDENCE: 0.9941520467836257
IF set: {'48', '38', '60', '86', '23', '59', '40'}  THEN set: {'58', '41', '14'}  CONFIDENCE: 0.9550561797752809
IF set: {'48', '38', '86', '23', '59', '14', '40'}  THEN set: {'60', '58', '41'}  CONFIDENCE: 0.9550561797752809
IF set: {'58', '38', '41', '60', '86', '23', '59'}  THEN set: {'48', '14', '40'}  CONFIDENCE: 0.8585858585858586
IF set: {'58', '38', '41', '86', '23', '14', '59'}  THEN set: {'60', '48', '40'}  CONFIDENCE: 0.8900523560209425
IF set: {'58', '38', '60', '86', '23', '14', '59'}  THEN set: {'48', '41', '40'}  CONFIDENCE: 0.8717948717948718
IF set: {'48', '58', '38', '60', '86', '23', '59'}  THEN set: {'41', '14', '40'}  CONFIDENCE: 0.8762886597938144
IF set: {'48', '58', '38', '86', '23', '14', '59'}  THEN set: {'60', '41', '40'}  CONFIDENCE: 0.8808290155440415
IF set: {'38', '41', '60', '86', '23', '14', '59'}  THEN set: {'48', '58', '40'}  CONFIDENCE: 0.85
IF set: {'48', '38', '41', '60', '86', '23', '59'}  THEN set: {'58', '14', '40'}  CONFIDENCE: 0.8629441624365483
IF set: {'48', '38', '41', '86', '23', '14', '59'}  THEN set: {'60', '58', '40'}  CONFIDENCE: 0.8673469387755102
IF set: {'48', '38', '60', '86', '23', '14', '59'}  THEN set: {'58', '41', '40'}  CONFIDENCE: 0.8585858585858586
IF set: {'58', '38', '41', '60', '23', '40', '59', '86'}  THEN set: {'48', '14'}  CONFIDENCE: 0.9941520467836257
IF set: {'58', '38', '41', '23', '40', '59', '86', '14'}  THEN set: {'60', '48'}  CONFIDENCE: 0.6589147286821705
IF set: {'58', '38', '60', '23', '40', '59', '86', '14'}  THEN set: {'48', '41'}  CONFIDENCE: 0.6538461538461539
IF set: {'58', '38', '60', '23', '40', '59', '48', '86'}  THEN set: {'41', '14'}  CONFIDENCE: 0.9826589595375722
IF set: {'58', '38', '23', '40', '59', '48', '86', '14'}  THEN set: {'60', '41'}  CONFIDENCE: 0.9883720930232558
IF set: {'38', '41', '60', '23', '40', '59', '86', '14'}  THEN set: {'48', '58'}  CONFIDENCE: 1.0
IF set: {'38', '41', '60', '23', '40', '59', '48', '86'}  THEN set: {'58', '14'}  CONFIDENCE: 0.96045197740113
IF set: {'38', '41', '23', '40', '59', '48', '86', '14'}  THEN set: {'60', '58'}  CONFIDENCE: 0.96045197740113
IF set: {'38', '60', '23', '40', '59', '48', '86', '14'}  THEN set: {'58', '41'}  CONFIDENCE: 0.9659090909090909
IF set: {'58', '38', '41', '60', '23', '59', '86', '14'}  THEN set: {'48', '40'}  CONFIDENCE: 0.8900523560209425
IF set: {'58', '38', '41', '60', '23', '59', '48', '86'}  THEN set: {'14', '40'}  CONFIDENCE: 0.8900523560209425
IF set: {'58', '38', '41', '23', '59', '48', '86', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8994708994708994
IF set: {'58', '38', '60', '23', '59', '48', '86', '14'}  THEN set: {'41', '40'}  CONFIDENCE: 0.8900523560209425
IF set: {'38', '41', '60', '23', '59', '48', '86', '14'}  THEN set: {'58', '40'}  CONFIDENCE: 0.8762886597938144
IF set: {'58', '38', '41', '60', '23', '40', '48', '86', '14'}  THEN set: {'59'}  CONFIDENCE: 1.0
IF set: {'58', '38', '41', '60', '23', '40', '59', '48', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'58', '38', '41', '60', '23', '40', '59', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.6614785992217899
IF set: {'58', '38', '41', '60', '23', '40', '59', '48', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9883720930232558
IF set: {'58', '38', '41', '23', '40', '59', '48', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9941520467836257
IF set: {'58', '41', '60', '23', '40', '59', '48', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'58', '38', '60', '23', '40', '59', '48', '86', '14'}  THEN set: {'41'}  CONFIDENCE: 0.9941520467836257
IF set: {'38', '41', '60', '23', '40', '59', '48', '86', '14'}  THEN set: {'58'}  CONFIDENCE: 0.9714285714285714
IF set: {'58', '38', '41', '60', '23', '59', '48', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.9042553191489362
IF set: {'58', '86', '23', '59', '14', '40'}  THEN set: {'48', '38', '41'}  CONFIDENCE: 0.6501901140684411
IF set: {'39', '86', '23', '59'}  THEN set: {'48', '38', '41', '14', '40'}  CONFIDENCE: 0.8300970873786407
IF set: {'40', '39', '23', '86', '59'}  THEN set: {'48', '38', '41', '14'}  CONFIDENCE: 0.9771428571428571
IF set: {'41', '39', '23', '86', '59'}  THEN set: {'48', '38', '14', '40'}  CONFIDENCE: 0.8507462686567164
IF set: {'38', '39', '23', '86', '59'}  THEN set: {'48', '41', '14', '40'}  CONFIDENCE: 0.8300970873786407
IF set: {'39', '23', '86', '14', '59'}  THEN set: {'48', '38', '41', '40'}  CONFIDENCE: 0.8465346534653465
IF set: {'48', '39', '23', '86', '59'}  THEN set: {'38', '41', '14', '40'}  CONFIDENCE: 0.8724489795918368
IF set: {'41', '86', '39', '23', '59', '40'}  THEN set: {'48', '38', '14'}  CONFIDENCE: 0.9827586206896551
IF set: {'38', '86', '39', '23', '59', '40'}  THEN set: {'48', '41', '14'}  CONFIDENCE: 0.9771428571428571
IF set: {'86', '39', '23', '59', '14', '40'}  THEN set: {'48', '38', '41'}  CONFIDENCE: 0.9941860465116279
IF set: {'48', '86', '39', '23', '59', '40'}  THEN set: {'38', '41', '14'}  CONFIDENCE: 0.9827586206896551
IF set: {'38', '41', '39', '23', '86', '59'}  THEN set: {'48', '14', '40'}  CONFIDENCE: 0.8507462686567164
IF set: {'41', '39', '23', '86', '14', '59'}  THEN set: {'48', '38', '40'}  CONFIDENCE: 0.868020304568528
IF set: {'48', '41', '39', '23', '86', '59'}  THEN set: {'38', '14', '40'}  CONFIDENCE: 0.890625
IF set: {'38', '39', '23', '86', '14', '59'}  THEN set: {'48', '41', '40'}  CONFIDENCE: 0.8465346534653465
IF set: {'48', '38', '39', '23', '86', '59'}  THEN set: {'41', '14', '40'}  CONFIDENCE: 0.8724489795918368
IF set: {'48', '39', '23', '86', '14', '59'}  THEN set: {'38', '41', '40'}  CONFIDENCE: 0.8860103626943006
IF set: {'38', '41', '86', '39', '23', '59', '40'}  THEN set: {'48', '14'}  CONFIDENCE: 0.9827586206896551
IF set: {'41', '86', '39', '23', '59', '14', '40'}  THEN set: {'48', '38'}  CONFIDENCE: 1.0
IF set: {'48', '41', '86', '39', '23', '59', '40'}  THEN set: {'38', '14'}  CONFIDENCE: 0.9884393063583815
IF set: {'38', '86', '39', '23', '59', '14', '40'}  THEN set: {'48', '41'}  CONFIDENCE: 0.9941860465116279
IF set: {'48', '38', '86', '39', '23', '59', '40'}  THEN set: {'41', '14'}  CONFIDENCE: 0.9827586206896551
IF set: {'48', '86', '39', '23', '59', '14', '40'}  THEN set: {'38', '41'}  CONFIDENCE: 0.9941860465116279
IF set: {'38', '41', '39', '23', '86', '14', '59'}  THEN set: {'48', '40'}  CONFIDENCE: 0.868020304568528
IF set: {'48', '38', '41', '39', '23', '86', '59'}  THEN set: {'14', '40'}  CONFIDENCE: 0.890625
IF set: {'48', '41', '39', '23', '86', '14', '59'}  THEN set: {'38', '40'}  CONFIDENCE: 0.9047619047619048
IF set: {'48', '38', '39', '23', '86', '14', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.8860103626943006
IF set: {'38', '41', '39', '23', '40', '48', '86', '14'}  THEN set: {'59'}  CONFIDENCE: 1.0
IF set: {'38', '41', '39', '23', '40', '59', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 1.0
IF set: {'38', '41', '39', '23', '40', '59', '48', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9884393063583815
IF set: {'41', '39', '23', '40', '59', '48', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '39', '23', '40', '59', '48', '86', '14'}  THEN set: {'41'}  CONFIDENCE: 0.9941860465116279
IF set: {'38', '41', '39', '23', '59', '48', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.9047619047619048
IF set: {'60', '39', '23', '86', '59'}  THEN set: {'48', '41', '40'}  CONFIDENCE: 0.8382352941176471
IF set: {'86', '60', '39', '23', '59', '40'}  THEN set: {'48', '41'}  CONFIDENCE: 0.9827586206896551
IF set: {'41', '60', '39', '23', '86', '59'}  THEN set: {'48', '40'}  CONFIDENCE: 0.855
IF set: {'48', '60', '39', '23', '86', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.8860103626943006
IF set: {'41', '86', '60', '39', '23', '59', '40'}  THEN set: {'48'}  CONFIDENCE: 0.9884393063583815
IF set: {'48', '86', '60', '39', '23', '59', '40'}  THEN set: {'41'}  CONFIDENCE: 0.9941860465116279
IF set: {'48', '41', '60', '39', '23', '86', '59'}  THEN set: {'40'}  CONFIDENCE: 0.9
IF set: {'38', '60', '39', '23', '86', '59'}  THEN set: {'48', '41', '40'}  CONFIDENCE: 0.8382352941176471
IF set: {'38', '86', '60', '39', '23', '59', '40'}  THEN set: {'48', '41'}  CONFIDENCE: 0.9827586206896551
IF set: {'38', '41', '60', '39', '23', '86', '59'}  THEN set: {'48', '40'}  CONFIDENCE: 0.855
IF set: {'48', '38', '60', '39', '23', '86', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.8860103626943006
IF set: {'38', '41', '60', '39', '23', '40', '48', '86'}  THEN set: {'59'}  CONFIDENCE: 1.0
IF set: {'38', '41', '60', '39', '23', '40', '59', '86'}  THEN set: {'48'}  CONFIDENCE: 0.9884393063583815
IF set: {'41', '60', '39', '23', '40', '59', '48', '86'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '23', '40', '59', '48', '86'}  THEN set: {'41'}  CONFIDENCE: 0.9941860465116279
IF set: {'38', '41', '60', '39', '23', '59', '48', '86'}  THEN set: {'40'}  CONFIDENCE: 0.9
IF set: {'56', '60', '86', '23', '59'}  THEN set: {'48', '41', '14', '40'}  CONFIDENCE: 0.8629441624365483
IF set: {'56', '86', '23', '14', '59'}  THEN set: {'60', '48', '41', '40'}  CONFIDENCE: 0.8762886597938144
IF set: {'56', '60', '86', '23', '59', '40'}  THEN set: {'48', '41', '14'}  CONFIDENCE: 0.9941520467836257
IF set: {'56', '86', '23', '59', '14', '40'}  THEN set: {'60', '48', '41'}  CONFIDENCE: 0.6563706563706564
IF set: {'41', '56', '60', '86', '23', '59'}  THEN set: {'48', '14', '40'}  CONFIDENCE: 0.8717948717948718
IF set: {'41', '56', '86', '23', '14', '59'}  THEN set: {'60', '48', '40'}  CONFIDENCE: 0.8900523560209425
IF set: {'56', '60', '86', '23', '14', '59'}  THEN set: {'48', '41', '40'}  CONFIDENCE: 0.8808290155440415
IF set: {'48', '56', '60', '86', '23', '59'}  THEN set: {'41', '14', '40'}  CONFIDENCE: 0.9139784946236559
IF set: {'48', '56', '86', '23', '14', '59'}  THEN set: {'60', '41', '40'}  CONFIDENCE: 0.918918918918919
IF set: {'41', '56', '60', '86', '23', '59', '40'}  THEN set: {'48', '14'}  CONFIDENCE: 1.0
IF set: {'41', '56', '86', '23', '59', '14', '40'}  THEN set: {'60', '48'}  CONFIDENCE: 0.6640625
IF set: {'56', '60', '86', '23', '59', '14', '40'}  THEN set: {'48', '41'}  CONFIDENCE: 0.6589147286821705
IF set: {'48', '56', '60', '86', '23', '59', '40'}  THEN set: {'41', '14'}  CONFIDENCE: 0.9826589595375722
IF set: {'48', '56', '86', '23', '59', '14', '40'}  THEN set: {'60', '41'}  CONFIDENCE: 0.9883720930232558
IF set: {'41', '56', '60', '86', '23', '14', '59'}  THEN set: {'48', '40'}  CONFIDENCE: 0.8900523560209425
IF set: {'48', '41', '56', '60', '86', '23', '59'}  THEN set: {'14', '40'}  CONFIDENCE: 0.8854166666666666
IF set: {'48', '41', '56', '86', '23', '14', '59'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8947368421052632
IF set: {'48', '56', '60', '86', '23', '14', '59'}  THEN set: {'41', '40'}  CONFIDENCE: 0.9289617486338798
IF set: {'41', '60', '23', '40', '59', '56', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.6666666666666666
IF set: {'41', '60', '23', '40', '59', '48', '56', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9883720930232558
IF set: {'41', '23', '40', '59', '48', '56', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9941520467836257
IF set: {'60', '23', '40', '59', '48', '56', '86', '14'}  THEN set: {'41'}  CONFIDENCE: 0.9941520467836257
IF set: {'41', '60', '23', '59', '48', '56', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.8994708994708994
IF set: {'38', '56', '60', '86', '23', '59'}  THEN set: {'48', '41', '14', '40'}  CONFIDENCE: 0.8629441624365483
IF set: {'38', '56', '86', '23', '14', '59'}  THEN set: {'60', '48', '41', '40'}  CONFIDENCE: 0.8762886597938144
IF set: {'38', '56', '60', '86', '23', '59', '40'}  THEN set: {'48', '41', '14'}  CONFIDENCE: 0.9941520467836257
IF set: {'38', '56', '86', '23', '59', '14', '40'}  THEN set: {'60', '48', '41'}  CONFIDENCE: 0.6614785992217899
IF set: {'38', '41', '56', '60', '86', '23', '59'}  THEN set: {'48', '14', '40'}  CONFIDENCE: 0.8717948717948718
IF set: {'38', '41', '56', '86', '23', '14', '59'}  THEN set: {'60', '48', '40'}  CONFIDENCE: 0.8900523560209425
IF set: {'38', '56', '60', '86', '23', '14', '59'}  THEN set: {'48', '41', '40'}  CONFIDENCE: 0.8808290155440415
IF set: {'48', '38', '56', '60', '86', '23', '59'}  THEN set: {'41', '14', '40'}  CONFIDENCE: 0.9139784946236559
IF set: {'48', '38', '56', '86', '23', '14', '59'}  THEN set: {'60', '41', '40'}  CONFIDENCE: 0.918918918918919
IF set: {'38', '41', '60', '23', '40', '59', '56', '86'}  THEN set: {'48', '14'}  CONFIDENCE: 1.0
IF set: {'38', '41', '23', '40', '59', '56', '86', '14'}  THEN set: {'60', '48'}  CONFIDENCE: 0.6692913385826772
IF set: {'38', '60', '23', '40', '59', '56', '86', '14'}  THEN set: {'48', '41'}  CONFIDENCE: 0.6640625
IF set: {'38', '60', '23', '40', '59', '48', '56', '86'}  THEN set: {'41', '14'}  CONFIDENCE: 0.9826589595375722
IF set: {'38', '23', '40', '59', '48', '56', '86', '14'}  THEN set: {'60', '41'}  CONFIDENCE: 0.9883720930232558
IF set: {'38', '41', '60', '23', '59', '56', '86', '14'}  THEN set: {'48', '40'}  CONFIDENCE: 0.8900523560209425
IF set: {'38', '41', '60', '23', '59', '48', '56', '86'}  THEN set: {'14', '40'}  CONFIDENCE: 0.8854166666666666
IF set: {'38', '41', '23', '59', '48', '56', '86', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8947368421052632
IF set: {'38', '60', '23', '59', '48', '56', '86', '14'}  THEN set: {'41', '40'}  CONFIDENCE: 0.9289617486338798
IF set: {'38', '41', '60', '23', '40', '48', '56', '86', '14'}  THEN set: {'59'}  CONFIDENCE: 1.0
IF set: {'38', '41', '60', '23', '40', '59', '48', '56', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'38', '41', '60', '23', '40', '59', '56', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.6719367588932806
IF set: {'38', '41', '60', '23', '40', '59', '48', '56', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9883720930232558
IF set: {'38', '41', '23', '40', '59', '48', '56', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9941520467836257
IF set: {'41', '60', '23', '40', '59', '48', '56', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '23', '40', '59', '48', '56', '86', '14'}  THEN set: {'41'}  CONFIDENCE: 0.9941520467836257
IF set: {'38', '41', '60', '23', '59', '48', '56', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.8994708994708994
IF set: {'58', '56', '86', '23', '59', '40'}  THEN set: {'48', '38'}  CONFIDENCE: 0.6526717557251909
IF set: {'58', '60', '86', '23', '59', '14', '40'}  THEN set: {'48'}  CONFIDENCE: 0.6526717557251909
IF set: {'58', '56', '60', '86', '23', '59'}  THEN set: {'48', '40'}  CONFIDENCE: 0.8808290155440415
IF set: {'58', '56', '60', '86', '23', '59', '40'}  THEN set: {'48'}  CONFIDENCE: 0.6513409961685823
IF set: {'48', '58', '56', '60', '86', '23', '59'}  THEN set: {'40'}  CONFIDENCE: 0.8994708994708994
IF set: {'58', '38', '56', '60', '86', '23', '59'}  THEN set: {'48', '40'}  CONFIDENCE: 0.8808290155440415
IF set: {'58', '38', '60', '23', '40', '59', '56', '86'}  THEN set: {'48'}  CONFIDENCE: 0.6563706563706564
IF set: {'58', '60', '23', '40', '59', '48', '56', '86'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'58', '38', '60', '23', '59', '48', '56', '86'}  THEN set: {'40'}  CONFIDENCE: 0.8994708994708994
IF set: {'60', '39', '23', '86', '14', '59'}  THEN set: {'48', '40'}  CONFIDENCE: 0.85
IF set: {'86', '60', '39', '23', '59', '14', '40'}  THEN set: {'48'}  CONFIDENCE: 0.9941520467836257
IF set: {'48', '60', '39', '23', '86', '14', '59'}  THEN set: {'40'}  CONFIDENCE: 0.8947368421052632
IF set: {'38', '60', '39', '23', '86', '14', '59'}  THEN set: {'48', '40'}  CONFIDENCE: 0.85
IF set: {'38', '60', '39', '23', '40', '59', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.9941520467836257
IF set: {'60', '39', '23', '40', '59', '48', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '23', '59', '48', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.8947368421052632
IF set: {'92', '86', '23', '56'}  THEN set: {'60', '48', '40'}  CONFIDENCE: 0.6614785992217899
IF set: {'56', '92', '86', '23', '40'}  THEN set: {'60', '48'}  CONFIDENCE: 0.7391304347826086
IF set: {'56', '60', '86', '23', '92'}  THEN set: {'48', '40'}  CONFIDENCE: 0.6827309236947792
IF set: {'48', '56', '92', '86', '23'}  THEN set: {'60', '40'}  CONFIDENCE: 0.8947368421052632
IF set: {'56', '60', '40', '23', '86', '92'}  THEN set: {'48'}  CONFIDENCE: 0.7623318385650224
IF set: {'48', '56', '92', '86', '23', '40'}  THEN set: {'60'}  CONFIDENCE: 0.9883720930232558
IF set: {'48', '56', '60', '86', '23', '92'}  THEN set: {'40'}  CONFIDENCE: 0.9340659340659341
IF set: {'38', '56', '92', '86', '23'}  THEN set: {'48', '14', '40'}  CONFIDENCE: 0.67578125
IF set: {'56', '92', '86', '23', '14'}  THEN set: {'48', '38', '40'}  CONFIDENCE: 0.6837944664031621
IF set: {'38', '56', '92', '86', '23', '40'}  THEN set: {'48', '14'}  CONFIDENCE: 0.7554585152838428
IF set: {'56', '92', '86', '23', '14', '40'}  THEN set: {'48', '38'}  CONFIDENCE: 0.762114537444934
IF set: {'38', '56', '92', '86', '23', '14'}  THEN set: {'48', '40'}  CONFIDENCE: 0.6865079365079365
IF set: {'48', '38', '56', '92', '86', '23'}  THEN set: {'14', '40'}  CONFIDENCE: 0.9153439153439153
IF set: {'48', '56', '92', '86', '23', '14'}  THEN set: {'38', '40'}  CONFIDENCE: 0.9251336898395722
IF set: {'38', '56', '92', '86', '23', '14', '40'}  THEN set: {'48'}  CONFIDENCE: 0.7654867256637168
IF set: {'48', '38', '56', '92', '86', '23', '40'}  THEN set: {'14'}  CONFIDENCE: 1.0116959064327486
IF set: {'48', '56', '92', '86', '23', '14', '40'}  THEN set: {'38'}  CONFIDENCE: 1.0176470588235293
IF set: {'48', '38', '56', '92', '86', '23', '14'}  THEN set: {'40'}  CONFIDENCE: 0.9301075268817204
IF set: {'38', '60', '40', '23', '86', '36', '92'}  THEN set: {'48'}  CONFIDENCE: 0.8248847926267281
IF set: {'48', '60', '40', '23', '86', '36', '92'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '40', '23', '86', '36', '14', '92'}  THEN set: {'48'}  CONFIDENCE: 0.8248847926267281
IF set: {'38', '60', '23', '36', '40', '48', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.93717277486911
IF set: {'38', '60', '92', '23', '36', '40', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.8248847926267281
IF set: {'38', '60', '92', '23', '36', '40', '48', '86'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'60', '92', '23', '36', '40', '48', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'40', '60', '39', '23', '86', '36', '92'}  THEN set: {'48'}  CONFIDENCE: 0.8248847926267281
IF set: {'38', '60', '39', '23', '36', '40', '48', '86'}  THEN set: {'92'}  CONFIDENCE: 0.93717277486911
IF set: {'38', '60', '92', '39', '23', '36', '40', '86'}  THEN set: {'48'}  CONFIDENCE: 0.8248847926267281
IF set: {'60', '92', '39', '23', '36', '40', '48', '86'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'60', '39', '23', '36', '40', '48', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.93717277486911
IF set: {'60', '92', '39', '23', '36', '40', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.8248847926267281
IF set: {'38', '60', '39', '23', '36', '40', '86', '14'}  THEN set: {'92', '48'}  CONFIDENCE: 0.7489539748953975
IF set: {'38', '60', '92', '23', '36', '40', '48', '86', '14'}  THEN set: {'39'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '23', '36', '40', '48', '86', '14'}  THEN set: {'92'}  CONFIDENCE: 0.93717277486911
IF set: {'38', '60', '92', '39', '23', '36', '40', '48', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'38', '60', '92', '39', '23', '36', '40', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.8248847926267281
IF set: {'38', '60', '92', '39', '23', '36', '40', '48', '86'}  THEN set: {'14'}  CONFIDENCE: 1.0
IF set: {'38', '92', '39', '23', '36', '40', '48', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.927461139896373
IF set: {'60', '92', '39', '23', '36', '40', '48', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '92', '39', '36', '40', '48', '86', '14'}  THEN set: {'23'}  CONFIDENCE: 1.0
IF set: {'48', '56', '39', '23', '86'}  THEN set: {'92', '14', '40'}  CONFIDENCE: 0.8292682926829268
IF set: {'56', '92', '39', '23', '86'}  THEN set: {'48', '14', '40'}  CONFIDENCE: 0.6614785992217899
IF set: {'48', '56', '92', '39', '86'}  THEN set: {'23', '14', '40'}  CONFIDENCE: 0.8018867924528302
IF set: {'56', '39', '23', '86', '14', '40'}  THEN set: {'92', '48'}  CONFIDENCE: 0.6563706563706564
IF set: {'48', '56', '39', '23', '86', '40'}  THEN set: {'92', '14'}  CONFIDENCE: 0.9289617486338798
IF set: {'56', '92', '39', '23', '86', '40'}  THEN set: {'48', '14'}  CONFIDENCE: 0.7391304347826086
IF set: {'48', '56', '39', '23', '86', '14'}  THEN set: {'92', '40'}  CONFIDENCE: 0.845771144278607
IF set: {'56', '92', '39', '23', '86', '14'}  THEN set: {'48', '40'}  CONFIDENCE: 0.6719367588932806
IF set: {'48', '56', '92', '39', '23', '86'}  THEN set: {'14', '40'}  CONFIDENCE: 0.8947368421052632
IF set: {'48', '56', '92', '39', '86', '40'}  THEN set: {'23', '14'}  CONFIDENCE: 0.9392265193370166
IF set: {'48', '56', '92', '39', '86', '14'}  THEN set: {'23', '40'}  CONFIDENCE: 0.8173076923076923
IF set: {'48', '56', '39', '23', '86', '14', '40'}  THEN set: {'92'}  CONFIDENCE: 0.9392265193370166
IF set: {'56', '92', '39', '23', '86', '14', '40'}  THEN set: {'48'}  CONFIDENCE: 0.748898678414097
IF set: {'48', '56', '92', '39', '23', '86', '40'}  THEN set: {'14'}  CONFIDENCE: 0.9883720930232558
IF set: {'48', '56', '92', '39', '23', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.9090909090909091
IF set: {'48', '56', '92', '39', '86', '14', '40'}  THEN set: {'23'}  CONFIDENCE: 0.9497206703910615
IF set: {'56', '39', '23', '86', '40'}  THEN set: {'92', '48', '38'}  CONFIDENCE: 0.6526717557251909
IF set: {'38', '56', '39', '23', '86', '40'}  THEN set: {'92', '48'}  CONFIDENCE: 0.6576923076923077
IF set: {'48', '38', '56', '39', '23', '86'}  THEN set: {'92', '40'}  CONFIDENCE: 0.8423645320197044
IF set: {'38', '56', '92', '39', '23', '86'}  THEN set: {'48', '40'}  CONFIDENCE: 0.66796875
IF set: {'48', '38', '56', '92', '39', '86'}  THEN set: {'23', '40'}  CONFIDENCE: 0.8104265402843602
IF set: {'48', '38', '56', '39', '23', '86', '40'}  THEN set: {'92'}  CONFIDENCE: 0.9395604395604396
IF set: {'38', '56', '92', '39', '23', '86', '40'}  THEN set: {'48'}  CONFIDENCE: 0.7467248908296943
IF set: {'48', '38', '56', '92', '39', '23', '86'}  THEN set: {'40'}  CONFIDENCE: 0.9047619047619048
IF set: {'48', '38', '56', '92', '39', '86', '40'}  THEN set: {'23'}  CONFIDENCE: 0.95
IF set: {'56', '60', '39', '23', '86', '40'}  THEN set: {'48'}  CONFIDENCE: 0.6984126984126984
IF set: {'48', '56', '60', '39', '23', '86'}  THEN set: {'40'}  CONFIDENCE: 0.8979591836734694
IF set: {'56', '60', '39', '23', '86', '14', '40'}  THEN set: {'48'}  CONFIDENCE: 0.6987951807228916
IF set: {'48', '56', '60', '39', '23', '86', '40'}  THEN set: {'14'}  CONFIDENCE: 0.9886363636363636
IF set: {'48', '56', '60', '39', '23', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.9015544041450777
IF set: {'38', '56', '60', '39', '23', '86', '40'}  THEN set: {'48', '14'}  CONFIDENCE: 0.6904761904761905
IF set: {'38', '56', '39', '23', '86', '14', '40'}  THEN set: {'60', '48'}  CONFIDENCE: 0.6770428015564203
IF set: {'48', '38', '56', '60', '39', '23', '86'}  THEN set: {'14', '40'}  CONFIDENCE: 0.8877551020408163
IF set: {'48', '38', '56', '39', '23', '86', '14'}  THEN set: {'60', '40'}  CONFIDENCE: 0.87
IF set: {'38', '60', '39', '23', '40', '48', '56', '14'}  THEN set: {'86'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '23', '40', '56', '86', '14'}  THEN set: {'48'}  CONFIDENCE: 0.6987951807228916
IF set: {'38', '60', '39', '23', '40', '48', '56', '86'}  THEN set: {'14'}  CONFIDENCE: 0.9886363636363636
IF set: {'38', '39', '23', '40', '48', '56', '86', '14'}  THEN set: {'60'}  CONFIDENCE: 0.9666666666666667
IF set: {'60', '39', '23', '40', '48', '56', '86', '14'}  THEN set: {'38'}  CONFIDENCE: 1.0
IF set: {'38', '60', '39', '23', '48', '56', '86', '14'}  THEN set: {'40'}  CONFIDENCE: 0.9015544041450777
IF set: {'48', '56', '60', '39', '86', '92'}  THEN set: {'40'}  CONFIDENCE: 0.8529411764705882
