,comp4500_comp7500,engg7302,coms4507_coms7507,metr4202_metr7202,infs3200_infs7907,elec4400_elec7402,csse4011_csse7411,deco4500_deco7450,elec7901,coms7305,coms7307,csse7023,comp3506_comp7505,coms7308,comp3702_comp7702,elec2004,elec7902,coms4105_coms7410,comp7402_comp4403,coms3200_coms7201,coms4200_coms7200,comp7840_comp7860_comp7880,comp6803_comp7801_comp7861_comp7881,comp6804_comp7802_comp7862_comp7882,csse2310_csse7231,csse7610,infs4203_infs7203,deco1800_deco7180,deco2800_deco7280,deco3801_deco7381,deco3800_deco7380,deco6801_deco6802,deco1100_deco7110,deco2300_deco7230,elec4620_elec7462,csse4010_csse7410,csse4004_csse7014,elec3300_elec7302,elec7310,elec2003,elec3400_elec7401,csse3010_csse7301,engg1200,engg7830_metr7830,engg7802_engg7802_engg7804,engg7806_engg7807_engg7808,engg7800,engg7820_metr7820,aero4200,elec3100_elec7101,deco2200,cosc7502_cosc3500,deco2500_deco7250,elec4630_elec7463,infs7410,coms3000_coms7003,infs7900,scie2100,csse2010_csse7201,metr4201_metr7200,engg1300,engg1100,infs1200,csse1001_csse7030,engg4000,deco1400_deco7140,comp4702_comp7703,deco7860_deco7861_deco7862,metr2800,metr4810,elec4403_elec7403,elec4601_elec7606,coms4104_coms7104,csse4603_csse7032,elec4320_elec7420,cosc2500,comp3301_comp7308,coms4103_coms7400,deco3850_deco7385,elec7309,elec4302_elec7311,elec4300_elec7303,csse2002,engg4800,coms7310,infs2200_infs7903,elec7313,engg7811,metr3100,infs3204_infs7204,elec3004_elec7312,deco7350_deco3500,infs4205_infs7205,csse3006_csse7306,engg7000,engg4020_engg7020,engg2800,engg4810,csse3002_csse7001,infs1300_infs7130,scie1000,engg4805,engg4801,engg4802,metr4900_metr4901,elec7051,cosc3000,infs3202_infs7202
s0002439,,,,6,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,5,,,,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,5,,,
s0002440,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,5,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,6,,,,,,,5,,,,
s0002441,,,,,4,,,,,,,,,,,,,,,5,,,,,,,,,4,4,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
s0002442,,,,4,,5,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,6,,4,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,4,,,,,,,,,,,
s0002443,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,4,,,,,,,,,,,,,,6,,,,,,,,6,,,,,,5,,,,,,,,,,,,,,,,,,,7,,,,,,6,,,,,
s0002444,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,4,,4,6,6,5,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,
s0002445,,,,,5,,,,,,,4,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,6
s0002446,,4,,,,,,,5,7,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
s0002447,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,6,,5,5,,6,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
s0002448,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,5,6,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,6,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
s0002449,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,7,,,6,,,,,,,,,,,,,,,,6,,7,6,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,6,,,,,,,,,,,
s0002450,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,5,,,,,,,,5,4,,,,,,,,,,5,,
s0002451,,,,,,,,7,,,,,,,5,,,,,,,,,,,6,6,,,,,,,,,,,,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s0002452,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,4,5,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
s0002453,,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,4,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,
s0002454,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,4,,6,5,,6,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,4,,,,,,,,,,,
s0002455,,,,,,,,,,,,,,,,,,,,6,,,,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,4,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5
s0002456,,,,,5,,,,,,,,,,,,,,,5,7,,6,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5
s0002457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,6,5,,,,,,,,,,,,,,,5,,,,,,6,,,,,
s0002458,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,5,,5,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,,,,,,,,4,,,,,,,,4
s0002459,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,,,,,,5,,,,,,,,2
s0002460,7,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,6,,,,,7
s0002461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,5,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,5,,,,,,,,5,,,,,,,,
s0002462,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,5,,,6,,,,,,,,,,,,,,,,6,,6,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
s0002463,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,7,,,,,,,,,,,,,,,,,3,,,6,,,,,,,,,,,5,,,,,,,,,,,
s0002464,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,7,4,6,,,,,,,,,,,,,,4,,,,,,,,,,4,,
s0002465,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,6,,,,,,,,,,,,,,,,4,4,6,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
s0002466,,,,4,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,,,,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,6,,,
s0002467,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,5,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,7,,,,,,6,,,,,
s0002468,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,4,,,,,,,,,,,,,5,,,,,,6,,,,,
s0002469,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,6,,7,,,,7,,,,,6
s0002470,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,7,5,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,6,,,,,,6,7
s0002471,,,,,,,,,,,,,7,,,,,,6,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,7,7,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,4
s0002472,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,6,,,,,
s0002473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,7,,,4,5,,,,,,,3,,6,,,,,,,,,,,,,,,,,,,,4,,,,,,6,,,,,,,,,,,,,,,,
s0002474,,,,7,,,,,,,,,7,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,7,,,,,,6,,,,,,,,,,,,,,,,7,,,
s0002475,,,,,7,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,6,,,,7,,,,,,,7,,6,,,,7,,,,,5
s0002476,,,,5,,7,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,7,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,7,,,
s0002477,,,,4,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,7,,,,,,,,,,,,,,4,,,,,,5,,,,,,,,,,,,,,,,7,,,
s0002478,4,,5,,,,,,,,,,,,,,,,,2,6,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,6
s0002479,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,,6,,7,,,,,,,,,,6,4,,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,
s0002480,,,,,,,,,,,,,,,,,,,,7,,,7,,,,7,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,6,,,7,,,,,,,,,,,,,,,
s0002481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,5,,3,5,4,5,,7,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
s0002482,,,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,5,,,,6
s0002483,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,4,,4,,,6,,,,,,,,,,,,,,,,3,,5,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s0002484,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,4,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,,,5,,,,,
s0002485,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,3,,,,,,,,,,,,,,,4,,,,,,,5,,,,
s0002486,,,,,6,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,7,,,,,,,,,,,,,,,,,,,5,,,7,,,,7,,,,,,,,,,,,,,,,,,7
s0002487,,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,6,,,,,
s0002488,,,,,,,,,,,,,6,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,,,6,,6,,,,5,,,,,,,,,7
s0002489,,,,7,,7,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,,,
s0002490,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,5,,6,,,,,,,,,,6,6,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,6,,,,,,,,
s0002491,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,5,5,6,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
s0002492,,,,,,,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,7,,,,,,,,,,,
s0002493,,,,,7,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,6,,,5,,,,5,,,,,,,,,,,6,,,,,,,5
s0002494,,,4,,5,,,,,,,,,,,,,,,5,,,,,,,7,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,6,,4,4,,,,,,,,,,,,6
s0002495,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,5,,,6,,,,6,,,,,,,,,,,,,,,,,,6
s0002496,,,5,,6,,,,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,4,,5,,,,7,,,,,
s0002497,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,5,5,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,7,,,,,,,,
s0002498,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,4,,5,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,
s0002499,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,5,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,4,,5,,,,,,,7
s0002500,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,5,7,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,6,,7,,,,,,,,,,,,,,,,,5,,,,,,,,,6,,,,,,,,,,,,,,,,
s0002501,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,7,,6,6,,,,,,,,,,,,,,,7
s0002502,,,,,6,,,,,,,,,,,,,,,7,,,,7,,,7,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,7,,,,,,,7,,,,,,,,,,,,,,,6
s0002503,,,,6,,5,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,7,,,,,,7,,,,,
s0002504,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,7,,6,,,,,,,,,,4,4,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5,,,,,,,,
s0002505,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,,,5,,,,,,,,,,,,,,,6,,,,,,5,,,,,
s0002506,,,,,4,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,5
s0002507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,4,,,,4,,5,,,,,,,,,,,,,6,,,,,,5,,,,,
s0002508,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,5,1,,,,,,,,,,,,,,,,,4,,6,,,,,,,,,,5,5,,7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
s0002509,,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,
s0002510,4,,,,6,,,,,,,,,,,,,,4,,,,,,,,6,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
s0002511,,4,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4,,,,,,,,4,5,,,,,,,,,,,,
s0002512,,,,,,,,,,,,,4,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,7,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,6,,,,,,,6,,,,7
s0002513,,,,6,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,4,,,,,4,6,,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
s0002514,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,6,5,,,,,,,,,,,,5,,,,,,,6,,,6,,,,7,,,,,,,,,,,6,,,,,,,
s0002515,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,4,,,,,,,,,,,,,5,,,,,,,,,4,,,,,,5,,,,4,,,,,,,,,,,,,,,4,,,,,,5,,,,,
s0002516,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,7,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
s0002517,,,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,6,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,7,,,,,
s0002518,,,,7,,7,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,6,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6,,,,,
s0002519,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,6,,,5,,,,,,,,,,,,,,,,5,5,4,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
s0002520,,7,,,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,5,,,,,,,,,,,,,
s0002521,,,,,,,,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,6,7,,,,,,,,,,,,,,,,,,,6,,,5,,,,,,,,,,,,,5,,,,,,,,,5
s0002522,,3,,6,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,
s0002523,,,,,5,,,5,,,,4,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,5,,5,,,,,,,,,,,,,7
s0002524,,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,6,7,,,,,6,,,,,,,,,,,,,,,,7,,,
s0002525,1,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6,7,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,7
s0002526,,,,,,,,,,,,,6,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,6,,,,,,,,,7
s0002527,,,,,6,,,,,,,,,,,,,,,,,,6,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6,,,,6,,,7,,,,,,,,,,,,,,,4
s0002528,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,6,4,,5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,7
s0002529,,,,6,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,4,,,
s0002530,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,5,,,,,,,,,,,,,,,,,,7,,3,,,,,,,,,,4,4,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,6,,,,,,,,
s0002531,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,7,,,4,6,,,,,,,5,,6,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
s0002532,,,,,,,,,,,,5,6,,,,,,,,,,,7,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,7,,,,,,,7,,7,,,,,,,,,,,,,5
s0002533,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,4,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,2,,,,,
s0002534,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,,7,,,,,,,7,,,,
s0002535,,,,,,6,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,,,,,4,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,7,,,,,,7,,,,,
s0002536,,,,,,,,,,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,6,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,5,,,,,,,,,7
s0002537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,,4,,6,6,5,6,,6,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
s0002538,,,,,,,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,5,,,6,,,,,,,3,,,,,,,,,4,,6,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s0002539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,,6,,7,6,7,6,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
s0002540,,,,7,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,5,,,,,,,,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,6,,,
s0002541,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4,,4,,,,4,,,,,5
s0002542,,,,,,,,,,,,,5,,6,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,7,6,,,,,,,,,,,,,,,,,,,6,,,7,,,,7,,,,,,,,,,,,,,,,,,
s0002543,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,5,,,,,
s0002544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,,4,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,,,,,,,,,,4
s0002545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,5,,6,,,,,,,,,,,,,4,,,,,,,5,,,,
